Incident ID,Incident Type,Location/Context,Verification,Neighborhood,Date,Time,Description,State Kidnapping?,Agencies Involved,# of Agents,# of Unmarked Police Vehicles,Associated License Plates,Notes,Latitude,Longitude,Month,Date Category,Style Key
INC-034,Stakeout/Surveillance,Residential Area,Confirmed,Campus Farm,25-Jul-2025,4:12 PM,"Multiple agents with ICE, the US Marshals, and the Arizona Dept of Corrections conducting surveillance of a neighborhood in unmarked vehicles",Attempted Abduction(s) — Unknown Outcome,"US Marshals, Immigration and Customs Enforcement (ICE), Arizona Department of Corrections, Rehabilitation and Reentry (ADCRR)",2+,3+,CL33001; CPH4705; 4FA1CSA,,32.274827,-110.956686,July 2025,Older than 6 months,Stakeout/Surveillance_Older than 6 months
INC-035,Stakeout/Surveillance,Residential Area,Confirmed,Campus Farm,28-Jul-2025,4:08 PM,"Multiple agents with ICE, the US Marshals, and the Arizona Dept of Corrections conducting surveillance of a neighborhood in unmarked vehicles",Attempted Abduction(s) — Unknown Outcome,"US Marshals, Immigration and Customs Enforcement (ICE), Arizona Department of Corrections, Rehabilitation and Reentry (ADCRR)",1+,1+,4FA1CSA,,32.272121,-110.954842,July 2025,Older than 6 months,Stakeout/Surveillance_Older than 6 months
INC-036,Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,"Mountain 1st Avenue, Keeling, etc",28-Jul-2025,6:45 PM,"DHS/CBP helicopter (identified through observation and photographs as CBP but whose tail number could not be identified) flying a surveillance operation over Mountain 1st Avenue, Keeling, and surrounding neighborhoods",Unknown or Not Applicable,Department of Homeland Security (DHS) / U.S. Customs and Border Protection (CBP),Unknown,N/A,N/A,,32.254041,-110.960529,July 2025,Older than 6 months,Aerial Surveillance (Aircraft)_Older than 6 months
INC-037,Stakeout/Surveillance,Residential Area,Confirmed,Campus Farm,29-Jul-2025,11:43 AM,"Multiple agents with ICE, the US Marshals, and the Arizona Dept of Corrections conducting surveillance of a neighborhood in unmarked vehicles",Attempted Abduction(s) — Unknown Outcome,"US Marshals, Immigration and Customs Enforcement (ICE), Arizona Department of Corrections, Rehabilitation and Reentry (ADCRR)",8+,8+,CTN4392; CWW1277; CPH4705; CM59939; CM60201; CWS9674; BND7459,,32.275734,-110.956674,July 2025,Older than 6 months,Stakeout/Surveillance_Older than 6 months
INC-038,Vehicle Stop,Commercial Area,Confirmed,Park Place Mall,6-Aug-2025,,Vehicle stop involving ICE in the Park Place Mall parking lot. At least one person was kidnapped,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),5-6,4,CWN3915; CTN4388; CWD1071; CWW1873,,32.218344,-110.859031,August 2025,Older than 6 months,Vehicle Stop_Older than 6 months
INC-039,Stakeout/Surveillance,Commercial Area,Credible Report But Unconfirmed,Roger Park,10-Aug-2025,,"Two unknown agents in unmarked vehicles observed prowling a Lowe's Home Improvement store parking lot. Location and behavior of the agents is consistent with ICE, but we could confirm",Unknown or Not Applicable,Unknown,2+,2,7RA 65F; CMV2055,,32.282056,-110.979415,August 2025,Older than 6 months,Stakeout/Surveillance_Older than 6 months
INC-040,Vehicle Stop,Public Roadway,Confirmed,Mountain 1st Avenue,22-Aug-2025,6:00 AM,Vehicle stop conducted by five ICE agents in three unmarked vehicles. At least one person was kidnapped and his vehicle was left on the side of the road,Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),5,3,CWW1146; CL77972; CM60348,,32.257506,-110.956549,August 2025,Older than 6 months,Vehicle Stop_Older than 6 months
INC-041,Unknown/Other,Commercial Area,Confirmed,Rose,25-Aug-2025,,ICE agents in 5-6 unmarked vehicles observed in a business parking lot. Unclear whether it was a business raid or a vehicle stop of some kind,Unknown or Not Applicable,Immigration and Customs Enforcement (ICE),5-6+,5-6,CWW1473; BNV1839,,32.174587,-110.977574,August 2025,Older than 6 months,Unknown/Other_Older than 6 months
INC-042,Raid,Residential Area,Confirmed,Vista del Monte,2-Sep-2025,2:40 PM,"ICE agents in at least one unmarked vehicle kidnapped two parents from an apartment complex. They then coerced the parents to lead them to their child's elementary school, John E. White Elementary School (documented as a separate), to kidnap the child. The ICE agents forced the mother to wear an electronic monitoring device on her ankle at the school as she collected the child.",Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),2+,1,BNV1839,,32.250572,-110.897013,September 2025,Older than 6 months,Raid_Older than 6 months
INC-043,Unknown/Other,School,Confirmed,Garden City,2-Sep-2025,3:50 PM,"ICE agents in at least one unmarked vehicle kidnapped two parents from an apartment complex (incident listed separately). They then coerced the parents to lead them to their child's elementary school, John E. White Elementary School, to kidnap the child. The ICE agents forced the mother to wear an electronic monitoring device on her ankle at the school as she collected the child.",Abduction(s) Occurred,Immigration and Customs Enforcement (ICE),2+,1,BNV1839,,32.152024,-111.018026,September 2025,Older than 6 months,Unknown/Other_Older than 6 months
